Id,Address,Latitude,Longitude,Time,Deaths_and_Injuries,Vehicles
14907,臺南市東區崇明十二街南側,22.97546500033 ,120.22354204201 ,106年11月01日 22時30分41秒,死亡0;受傷1,普通重型-機車;普通重型-機車
14908,臺南市安定區港南里南133線(港口245-4號)前路口,23.09181769332 ,120.23546305745 ,106年11月01日 23時02分00秒,死亡0;受傷1,普通重型-機車;自用-小客車
14909,臺南市永康區尚頂里?信街西側,23.02419000000 ,120.22389000000 ,106年11月01日 23時32分00秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人
14910,臺南市東區北忠街南側,23.00021156751 ,120.20692464802 ,106年11月02日 02時05分34秒,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人
14911,臺南市東區勝利路南側,23.00021164543 ,120.21848791844 ,106年11月02日 03時40分51秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人
14912,臺南市安南區北汕尾三路北側,23.04753033864 ,120.13554453100 ,106年11月02日 04時48分00秒,死亡0;受傷1,腳踏自行車-慢車;普通重型-機車
14913,臺南市麻豆區麻口里番寮高幹15左6電桿前,23.17738000000 ,120.22153000000 ,106年11月02日 05時35分00秒,死亡0;受傷2,拼裝車-其他車;普通重型-機車
14914,臺南市仁德區仁德五街東側,22.96152707905 ,120.25303240020 ,106年11月02日 06時08分00秒,死亡0;受傷4,普通重型-機車;普通重型-機車;普通重型-機車;乘客-人
14915,臺南市新市區國道1號 314公里800.0公尺處北向中線,23.07894000000 ,120.29525000000 ,106年11月02日 07時30分53秒,死亡0;受傷2,自用-小客車;自用-小客車
14916,臺南市白河區永安里富民路北側,23.34957041171 ,120.40938544818 ,106年11月02日 07時37分33秒,死亡0;受傷1,自用-小客車;普通重型-機車
14917,臺南市永康區正強里正強街東側,23.02958012436 ,120.25162362384 ,106年11月02日 07時40分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車
